city, marital-status, age, gender, year, population
GC, Widowed, 85-and-more, M, 2006, 66
LC, Divorced, 0-4, F, 2006, 0
LC, Divorced, 0-4, M, 2006, 0
LC, Divorced, 10-14, F, 2006, 0
LC, Divorced, 10-14, M, 2006, 0
LC, Divorced, 15-19, F, 2006, 0
LC, Divorced, 15-19, M, 2006, 1
LC, Divorced, 20-24, F, 2006, 3
LC, Divorced, 20-24, M, 2006, 3
LC, Divorced, 25-29, F, 2006, 10
LC, Divorced, 25-29, M, 2006, 14
LC, Divorced, 30-34, F, 2006, 30
LC, Divorced, 30-34, M, 2006, 14
LC, Divorced, 35-39, F, 2006, 64
LC, Divorced, 35-39, M, 2006, 51
LC, Divorced, 40-44, F, 2006, 88
LC, Divorced, 40-44, M, 2006, 79
LC, Divorced, 45-49, F, 2006, 85
LC, Divorced, 45-49, M, 2006, 80
LC, Divorced, 5-9, F, 2006, 0
LC, Divorced, 5-9, M, 2006, 0
LC, Divorced, 50-54, F, 2006, 83
LC, Divorced, 50-54, M, 2006, 77
LC, Divorced, 55-59, F, 2006, 40
LC, Divorced, 55-59, M, 2006, 48
LC, Divorced, 60-64, F, 2006, 27
LC, Divorced, 60-64, M, 2006, 26
LC, Divorced, 65-69, F, 2006, 18
LC, Divorced, 65-69, M, 2006, 17
LC, Divorced, 70-74, F, 2006, 7
LC, Divorced, 70-74, M, 2006, 3
LC, Divorced, 75-79, F, 2006, 2
LC, Divorced, 75-79, M, 2006, 2
LC, Divorced, 80-84, F, 2006, 0
LC, Divorced, 80-84, M, 2006, 0
LC, Divorced, 85-and-more, F, 2006, 0
LC, Divorced, 85-and-more, M, 2006, 1
LC, Married, 0-4, F, 2006, 0
LC, Married, 0-4, M, 2006, 0
LC, Married, 10-14, F, 2006, 0
LC, Married, 10-14, M, 2006, 0
LC, Married, 15-19, F, 2006, 11
LC, Married, 15-19, M, 2006, 7
LC, Married, 20-24, F, 2006, 106
LC, Married, 20-24, M, 2006, 79
LC, Married, 25-29, F, 2006, 388
LC, Married, 25-29, M, 2006, 346
LC, Married, 30-34, F, 2006, 721
LC, Married, 30-34, M, 2006, 684
LC, Married, 35-39, F, 2006, 824
LC, Married, 35-39, M, 2006, 846
LC, Married, 40-44, F, 2006, 1014
LC, Married, 40-44, M, 2006, 977
LC, Married, 45-49, F, 2006, 934
LC, Married, 45-49, M, 2006, 972
LC, Married, 5-9, F, 2006, 0
LC, Married, 5-9, M, 2006, 0
LC, Married, 50-54, F, 2006, 895
LC, Married, 50-54, M, 2006, 938
LC, Married, 55-59, F, 2006, 844
LC, Married, 55-59, M, 2006, 883
LC, Married, 60-64, F, 2006, 747
LC, Married, 60-64, M, 2006, 711
LC, Married, 65-69, F, 2006, 618
LC, Married, 65-69, M, 2006, 660
LC, Married, 70-74, F, 2006, 454
LC, Married, 70-74, M, 2006, 510
LC, Married, 75-79, F, 2006, 229
LC, Married, 75-79, M, 2006, 359
LC, Married, 80-84, F, 2006, 102
LC, Married, 80-84, M, 2006, 164
LC, Married, 85-and-more, F, 2006, 32
LC, Married, 85-and-more, M, 2006, 63
LC, Separated, 0-4, F, 2006, 0
LC, Separated, 0-4, M, 2006, 0
LC, Separated, 10-14, F, 2006, 0
LC, Separated, 10-14, M, 2006, 0
LC, Separated, 15-19, F, 2006, 1
LC, Separated, 15-19, M, 2006, 0
LC, Separated, 20-24, F, 2006, 7
LC, Separated, 20-24, M, 2006, 3
LC, Separated, 25-29, F, 2006, 26
LC, Separated, 25-29, M, 2006, 14
LC, Separated, 30-34, F, 2006, 78
LC, Separated, 30-34, M, 2006, 26
LC, Separated, 35-39, F, 2006, 127
LC, Separated, 35-39, M, 2006, 76
LC, Separated, 40-44, F, 2006, 189
LC, Separated, 40-44, M, 2006, 107
LC, Separated, 45-49, F, 2006, 176
LC, Separated, 45-49, M, 2006, 140
LC, Separated, 5-9, F, 2006, 0
LC, Separated, 5-9, M, 2006, 0
LC, Separated, 50-54, F, 2006, 189
LC, Separated, 50-54, M, 2006, 135
LC, Separated, 55-59, F, 2006, 163
LC, Separated, 55-59, M, 2006, 130
LC, Separated, 60-64, F, 2006, 93
LC, Separated, 60-64, M, 2006, 76
LC, Separated, 65-69, F, 2006, 48
LC, Separated, 65-69, M, 2006, 41
LC, Separated, 70-74, F, 2006, 16
LC, Separated, 70-74, M, 2006, 25
LC, Separated, 75-79, F, 2006, 8
LC, Separated, 75-79, M, 2006, 9
LC, Separated, 80-84, F, 2006, 2
LC, Separated, 80-84, M, 2006, 6
LC, Separated, 85-and-more, F, 2006, 1
LC, Separated, 85-and-more, M, 2006, 1
LC, Single, 0-4, F, 2006, 1574
LC, Single, 0-4, M, 2006, 1626
LC, Single, 10-14, F, 2006, 1513
LC, Single, 10-14, M, 2006, 1501
